URL,Score,Performance,Accessibility,Best Practices,SEO
"/",80,58,87,73,100
"/about-benchmark-solutions/",74,39,90,73,92
"/benchmark-ehr/",73,36,90,73,92
"/benchmark-pm/",82,72,90,73,92
"/benchmark-pm/globalpayments/",78,47,90,73,100
"/benchmark-protech/",76,46,91,73,92
"/benchmark-systems-video-library/",75,46,90,73,92
"/benchmarkai/",73,42,86,73,92
"/blog/",63,44,90,73,45
"/blog/4-findings-from-the-2015-practice-profitability-index/",75,35,91,73,100
"/blog/author/434marketing/",71,40,90,69,83
"/blog/author/anand/",73,48,91,69,85
"/blog/author/brandon/",69,43,86,69,77
"/blog/author/idescutner/",68,47,90,50,83
"/blog/author/jamie/",79,75,86,69,85
"/blog/author/kristina/",71,34,90,69,92
"/blog/author/scott/",80,81,86,69,85
"/blog/author/wslightham/",78,61,90,69,92
"/blog/benchmark-solutions-wins-gold/",81,58,91,73,100
"/blog/emr-vs-ehr-whats-the-difference/",85,75,91,73,100
"/blog/how-cpoe-systems-work/",79,54,87,73,100
"/blog/patient-attrition-reasons-and-solutions/",77,56,87,73,92
"/blog/what-is-a-medical-billing-clearinghouse-and-should-i-use-one/",74,34,88,73,100
"/blog/what-is-ehr-software/",79,48,93,73,100
"/blog/why-your-ehr-should-support-voice-dictation/",77,44,91,73,100
"/careers/",78,47,90,73,100
"/case-studies/",69,58,90,73,54
"/case-studies/aviation-and-occupational-medicine/",76,41,89,73,100
"/case-studies/evergreen-speech-and-hearing/",76,42,89,73,100
"/case-studies/springer-medical-associates/",74,41,89,73,92
"/change-healthcare-alert/",77,57,88,73,92
"/contact-benchmark/",80,55,91,73,100
"/disclosure/",76,51,91,69,92
"/downloadable-resources/",72,51,90,54,92
"/frequently-asked-questions/",75,43,90,73,92
"/leadership-team/",74,33,91,73,100
"/medical-billing-software-for-billing-companies/",68,40,87,54,92
"/privacy-policy/",78,47,90,73,100
"/rcm-outsourcing-landing/",70,41,91,54,92
"/rcm-services-landing/",84,78,91,73,92
"/revenue-cycle-management/",79,52,90,73,100
"/software-enhancements/",81,58,91,73,100
"/specialties-we-support/",79,60,91,73,92
