URL,Score,Performance,Accessibility,Best Practices,SEO
"/",79,54,87,73,100
"/about-benchmark-solutions/",77,54,90,73,92
"/benchmark-ehr/",68,37,90,54,92
"/benchmark-pm/",73,56,90,54,92
"/benchmark-pm/globalpayments/",68,27,90,54,100
"/benchmark-protech/",74,59,91,54,92
"/benchmark-systems-video-library/",78,56,90,73,92
"/benchmarkai/",70,30,86,73,92
"/blog/",59,26,90,73,45
"/blog/antworks-healthcare-named-leader-frontrunners-quadrant-electronic-healthcare-record-software/",73,47,91,54,100
"/blog/author/adrianne/",71,51,86,69,77
"/blog/author/anand/",76,52,91,69,92
"/blog/author/ascoles/",72,55,90,50,92
"/blog/author/bmarshall/",69,52,90,50,83
"/blog/author/jamie/",72,47,86,69,85
"/blog/author/jasmine/",77,57,90,69,92
"/blog/author/mkwhite/",77,58,90,69,92
"/blog/author/shelby/",72,57,86,69,77
"/blog/does-your-obgyn-software-have-this/",78,56,91,73,92
"/blog/interoperability-challenges-in-healthcare/",77,56,87,73,92
"/blog/nephrology-billing-and-coding-guidelines-to-consider/",81,58,91,73,100
"/blog/performing-medical-billing-audits-at-your-practice/",75,55,87,73,85
"/blog/ways-to-use-patient-engagement-software/",80,57,91,73,100
"/blog/what-is-fee-for-service/",80,59,87,73,100
"/blog/what-is-modified-wave-scheduling/",76,62,87,54,100
"/careers/",80,58,90,73,100
"/case-studies/",69,57,90,73,54
"/case-studies/aviation-and-occupational-medicine/",79,55,89,73,100
"/case-studies/evergreen-speech-and-hearing/",79,55,89,73,100
"/case-studies/springer-medical-associates/",78,56,89,73,92
"/change-healthcare-alert/",75,47,88,73,92
"/contact-benchmark/",76,40,91,73,100
"/disclosure/",73,54,91,54,92
"/downloadable-resources/",78,55,90,73,92
"/frequently-asked-questions/",78,56,90,73,92
"/leadership-team/",80,56,91,73,100
"/medical-billing-software-for-billing-companies/",75,48,87,73,92
"/privacy-policy/",77,44,90,73,100
"/rcm-outsourcing-landing/",76,49,91,73,92
"/rcm-services-landing/",78,55,91,73,92
"/revenue-cycle-management/",74,49,85,69,92
"/software-enhancements/",80,55,91,73,100
"/specialties-we-support/",77,53,91,73,92
